DO_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Allerton/Pelham Gardens,1902,121601.23,24809.06,34.266666666666666,67.29583333333332,21.90325524335212,1.3012618296529967,5.210958904109589
Alphabet City,114919,2846474.02,327175.44,12.683333333333334,30.783333333333335,9.700494246169802,1.3618983805985085,314.84657534246577
Arden Heights,424,44712.83,9261.55,54.54166666666667,94.70333333333332,23.515770457696803,1.1037735849056605,1.1616438356164382
Arrochar/Fort Wadsworth,457,44429.05,8465.76,38.93333333333333,67.36333333333333,29.18053961090852,1.4223194748358863,1.252054794520548
Astoria,76597,2910260.04,454819.33,22.2,43.13333333333333,13.492239646601435,1.3137720798464692,209.85479452054796
Astoria Park,449,19602.03,3171.24,24.733333333333334,48.219999999999985,14.036668272932465,1.358574610244989,1.2301369863013698
Auburndale,2631,149852.27,30270.24,28.466666666666665,53.68333333333334,24.158049114180912,1.4040288863549981,7.208219178082191
Baisley Park,26587,780296.98,128749.3,9.766666666666667,51.85666666666657,22.959378316450984,1.4306992139015309,72.84109589041095
Bath Beach,1906,136661.51,29753.07,35.90833333333333,67.93333333333334,26.008815791447436,1.3336831059811123,5.221917808219178
Battery Park,20115,636509.12,87367.14,20.783333333333335,34.483333333333334,12.195403987415023,1.8026845637583893,55.10958904109589
Battery Park City,244084,7859806.53,1096805.99,17.933333333333334,36.666666666666664,12.310631803371638,1.454335392733649,668.7232876712329
Bay Ridge,18439,1312620.85,261389.21,34.333333333333336,62.983333333333334,23.57740501502954,1.3161776669016758,50.51780821917808
Bay Terrace/Fort Totten,2258,150793.74,32288.65,29.666666666666664,55.125000000000014,29.088934611417166,1.3866253321523472,6.186301369863013
Bayside,3962,254034.07,53153.88,29.133333333333333,56.68083333333332,28.22328814693833,1.3687531549722363,10.854794520547944
Bedford,30346,1463516.48,242078.7,31.866666666666667,56.42916666666666,13.716336686822466,1.3387596388321361,83.13972602739726
Bedford Park,3474,211489.09,43157.35,33.75,71.56666666666663,20.11808889071467,1.2662636729994243,9.517808219178082
Bellerose,2889,147841.11,31105.84,22.383333333333333,59.05333333333333,28.047425993085056,1.3831775700934579,7.9150684931506845
Belmont,2787,171324.8,32998.19,34.06666666666667,67.69333333333331,19.724561673477286,1.340150699677072,7.635616438356164
Bensonhurst East,3270,217619.17,46276.43,36.775,65.02583333333332,23.141074163643445,1.310703363914373,8.95890410958904
Bensonhurst West,4508,315533.24,66171.16,37.11666666666667,66.51583333333332,23.39108102922008,1.31810115350488,12.35068493150685
