PU_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Allerton/Pelham Gardens,655,23446.48,4733.7,29.716666666666665,84.6766666666666,10.462822749018413,1.0793893129770993,1.7945205479452055
Alphabet City,37203,919436.54,116578.31,13.233333333333333,32.833333333333336,10.365904514530138,1.3593796199231245,101.92602739726027
Arden Heights,285,25705.82,5290.03,58.483333333333334,98.79000000000002,18.279248009790454,1.0,0.7808219178082192
Arrochar/Fort Wadsworth,35,2833.49,389.48,22.716666666666665,64.77999999999997,26.274956198583194,1.8285714285714285,0.0958904109589041
Astoria,15980,385146.2,59227.07,14.25,44.050833333333316,10.985776236835385,1.230037546933667,43.78082191780822
Astoria Park,131,9297.95,1007.7,22.05,52.724999999999994,17.85160421306651,1.3129770992366412,0.3589041095890411
Auburndale,493,14881.6,2806.57,23.9,63.88,11.389214578854904,1.0628803245436105,1.3506849315068492
Baisley Park,8361,660964.46,110443.81,38.93333333333333,77.56666666666666,19.41879044400814,1.4347566080612366,22.90684931506849
Bath Beach,435,20186.77,4583.78,36.06666666666667,90.44666666666656,17.26236953397531,1.0942528735632184,1.1917808219178083
Battery Park,15438,510965.55,68911.68,19.85,42.03583333333332,11.70323457262959,1.785075787019044,42.295890410958904
Battery Park City,191445,6132284.64,817451.88,16.3,38.36666666666667,12.303193751422928,1.395022069001541,524.5068493150685
Bay Ridge,2070,97537.95,21728.56,37.63333333333333,82.77749999999999,15.508675799255183,1.098550724637681,5.671232876712328
Bay Terrace/Fort Totten,286,12171.55,2815.33,32.66666666666667,68.0625,14.981083833866366,1.034965034965035,0.7835616438356164
Bayside,471,18121.27,3679.66,28.283333333333335,77.49166666666667,13.79956309453454,1.0445859872611465,1.2904109589041095
Bedford,4390,128340.63,23760.49,25.608333333333334,59.68500000000001,10.389336767044984,1.0817767653758543,12.027397260273972
Bedford Park,1250,45952.32,9504.58,31.225,81.33083333333333,10.60973090224667,1.0552,3.4246575342465753
Bellerose,661,25025.21,5449.79,25.716666666666665,75.61666666666666,15.721820139484699,1.065052950075643,1.810958904109589
Belmont,695,23884.47,4536.09,28.566666666666666,75.36333333333332,10.159494243689457,1.097841726618705,1.904109589041096
Bensonhurst East,744,29807.35,6646.47,40.575,93.41666666666667,10.561475843245525,1.0241935483870968,2.0383561643835617
Bensonhurst West,924,38721.44,8222.87,41.43333333333334,98.65249999999997,10.997247044376127,1.0292207792207793,2.5315068493150683
Bloomfield/Emerson Hill,474,33846.04,9861.09,55.3,92.4799999999999,23.41948207274153,1.0168776371308017,1.2986301369863014
Bloomingdale,87347,1976347.89,235661.56,11.416666666666666,32.483333333333334,10.380707263315808,1.3137486118584496,239.3068493150685
Boerum Hill,13548,378926.78,62572.66,18.1,52.68333333333333,10.849410337726795,1.2339828757012106,37.11780821917808
Borough Park,1064,36716.0,7079.37,35.358333333333334,85.95416666666667,8.530015659904251,1.0883458646616542,2.915068493150685
Breezy Point/Fort Tilden/Riis Beach,16,955.2,199.62,37.766666666666666,78.51249999999999,19.145340730403056,1.0625,0.043835616438356165
Briarwood/Jamaica Hills,2689,147173.46,22650.27,23.633333333333333,61.31666666666665,17.67661948852431,1.242097433990331,7.367123287671233
Brighton Beach,928,48075.31,11109.63,53.0,114.30999999999999,13.302267141250363,1.043103448275862,2.5424657534246577
Broad Channel,26,944.22,198.15,11.633333333333333,70.87083333333334,19.623108606583102,1.0384615384615385,0.07123287671232877
Bronx Park,183,8204.34,1401.34,31.683333333333334,59.98833333333334,13.333267490037086,1.3114754098360655,0.5013698630136987
Bronxdale,978,33827.49,6475.7300000000005,28.95,82.07166666666666,9.64088241353264,1.0286298568507157,2.6794520547945204
Brooklyn Heights,17093,532459.65,86239.58,19.766666666666666,46.839999999999996,12.449613724738947,1.2746738430936642,46.83013698630137
Brooklyn Navy Yard,647,18922.85,3054.82,18.9,46.74666666666666,11.496279264771458,1.2179289026275115,1.7726027397260273
Brownsville,2834,90702.11,17195.86,34.166666666666664,82.16333333333331,7.823108547971817,1.0197600564573042,7.764383561643836
Bushwick North,3002,96345.05,18434.69,23.816666666666666,48.66333333333332,13.6596511877295,1.1469020652898068,8.224657534246575
Bushwick South,4279,135608.42,25604.12,26.033333333333335,57.85,11.893518032672192,1.0888057957466697,11.723287671232876
Cambria Heights,1092,50473.62,11058.58,35.95833333333333,82.83250000000001,15.542978782699013,1.0924908424908424,2.9917808219178084
Canarsie,3540,146516.77,30347.06,38.766666666666666,93.86999999999998,10.015005356490397,1.0313559322033898,9.698630136986301
Carroll Gardens,4362,129546.23,19530.64,17.316666666666666,45.34833333333333,11.764752445563133,1.1916552040348465,11.95068493150685
Central Harlem,78741,1644241.23,213627.68,10.45,34.766666666666666,10.182414860048366,1.318779289061607,215.72876712328767
Central Harlem North,28573,649739.72,101478.59,12.633333333333333,45.05,10.316959935805581,1.2268225247611382,78.28219178082192
Central Park,555837,12860436.73,1224542.69,11.783333333333333,32.03333333333333,8.92123598185199,1.4980183039272306,1522.841095890411
Charleston/Tottenville,217,15745.460000000001,4374.08,45.4,90.7033333333333,26.53262331765329,1.0,0.5945205479452055
Chinatown,43063,1262541.78,158511.56,16.05,44.48166666666669,9.581683471367874,1.4878201704479483,117.98082191780821
City Island,88,3675.42,803.67,33.175,64.87833333333333,14.669441085850321,1.1363636363636365,0.2410958904109589
Claremont/Bathgate,1185,37288.61,6911.56,27.316666666666666,82.03333333333326,9.072547720592949,1.0548523206751055,3.2465753424657535
Clinton East,844922,20336523.12,2158271.48,11.3,32.36666666666667,9.762562943955093,1.4202683798031062,2314.854794520548
Clinton Hill,5313,154272.93,28427.44,23.466666666666665,62.78999999999999,10.552137695034988,1.0897797854319593,14.556164383561644
Clinton West,210370,4967289.31,548385.8,11.483333333333333,31.466666666666665,10.321344327353088,1.3941056234253935,576.3561643835617
Co-Op City,3196,130690.11,28307.48,36.15,81.85416666666666,12.812418807420999,1.0150187734668334,8.756164383561643
Cobble Hill,6907,206686.56,30545.75,18.5,44.56166666666667,11.076882715811967,1.219342695815839,18.923287671232877
College Point,438,19597.05,3927.69,32.20833333333333,67.66416666666665,16.740537227018862,1.1164383561643836,1.2
Columbia Street,618,20335.16,3592.83,20.65833333333333,47.971666666666664,13.975080674365737,1.2103559870550162,1.6931506849315068
Coney Island,1784,91440.04,22097.72,49.04166666666667,103.42333333333333,14.231932397084105,1.0285874439461884,4.887671232876713
Corona,2038,96021.47,13367.79,24.825,65.72916666666666,12.700975864752138,1.1933267909715408,5.583561643835616
Country Club,44,1236.74,223.87,15.891666666666666,63.5475,11.433303167440606,1.1136363636363635,0.12054794520547946
Crotona Park,38,1439.4099999999999,256.72,22.983333333333334,59.454999999999984,10.029266169609794,1.2105263157894737,0.10410958904109589
Crotona Park East,682,21649.329999999998,4021.43,27.233333333333334,71.19416666666663,8.958680671014694,1.067448680351906,1.8684931506849316
Crown Heights North,7660,232316.39,43806.53,28.8,69.91916666666664,9.758342818826542,1.064621409921671,20.986301369863014
Crown Heights South,2384,74193.99,14283.31,31.15833333333333,73.01749999999998,9.612677413908411,1.042785234899329,6.531506849315068
Cypress Hills,894,34143.62,6165.17,30.241666666666667,69.86166666666666,12.21703587906281,1.1006711409395973,2.4493150684931506
DUMBO/Vinegar Hill,10359,327816.85,51022.23,19.116666666666667,44.18833333333335,12.71189095263055,1.4861473115165555,28.38082191780822
Douglaston,223,9929.97,2126.55,24.716666666666665,83.19333333333323,19.154902598728732,1.0852017937219731,0.6109589041095891
Downtown Brooklyn/MetroTech,21184,660990.61,101179.44,17.05,47.997499999999974,12.591277333646616,1.362207326283988,58.038356164383565
Dyker Heights,542,22742.38,4587.47,31.633333333333333,72.95416666666658,15.063767416954322,1.1531365313653137,1.484931506849315
East Chelsea,843851,21774064.17,2136154.14,14.45,36.1,8.471948827238737,1.4254933631648241,2311.9205479452053
East Concourse/Concourse Village,2377,72688.16,13422.57,28.266666666666666,72.72,9.363198468596874,1.0854017669331089,6.512328767123288
East Elmhurst,54923,3283479.2,529124.58,26.966666666666665,54.8,20.80272497704157,1.4697485570708082,150.47397260273974
East Flatbush/Farragut,1982,60248.38,11166.68,32.09166666666667,84.27499999999996,7.9991295535902065,1.0191725529767912,5.4301369863013695
East Flatbush/Remsen Village,2343,74815.72,13657.76,32.9,85.14166666666668,8.30255545276787,1.0243277848911652,6.419178082191781
East Flushing,235,8388.22,1633.65,34.5,86.92499999999998,10.315175606122583,1.0340425531914894,0.6438356164383562
East Harlem North,69457,1449550.42,190466.64,10.816666666666666,33.06666666666667,10.852309629283438,1.2967879407403142,190.2931506849315
East Harlem South,195100,4171410.12,499263.49,10.166666666666666,33.266666666666666,10.566579190029401,1.2963608405945668,534.5205479452055
East New York,4590,164462.95,31666.67,33.5,85.45333333333335,9.642563323925415,1.039433551198257,12.575342465753424
East New York/Pennsylvania Avenue,1122,38577.87,7406.69,36.20833333333333,83.71333333333337,8.714820757425388,1.0231729055258467,3.073972602739726
East Tremont,1426,47097.8,9123.31,26.09166666666667,71.42083333333333,9.520023149384725,1.0364656381486677,3.9068493150684933
East Village,726687,17073636.45,1842927.08,11.633333333333333,29.883333333333333,9.937406836810904,1.4003374217510427,1990.9232876712329
East Williamsburg,7452,249887.56,41888.27,19.8,45.65583333333332,14.457645542560027,1.2616747181964574,20.416438356164385
Eastchester,917,33847.52,7229.13,34.11666666666667,80.14333333333329,10.626322350784404,1.0130861504907307,2.5123287671232877
Elmhurst,3945,150047.74,19268.11,18.283333333333335,56.639999999999986,11.150556406709057,1.2717363751584283,10.808219178082192
Elmhurst/Maspeth,1235,40584.82,6223.19,18.583333333333332,54.80333333333333,11.448472681192998,1.2931174089068826,3.3835616438356166
Eltingville/Annadale/Prince's Bay,9,822.02,137.56,51.05,84.90333333333334,17.15962723648121,1.2222222222222223,0.024657534246575342
Erasmus,1290,41955.92,8093.56,32.708333333333336,83.52666666666666,9.25076817227731,1.0395348837209302,3.5342465753424657
Far Rockaway,1659,85283.86,21514.36,55.03333333333333,108.225,13.916946185108147,1.0090415913200723,4.545205479452055
Financial District North,167266,5427117.64,750584.53,16.583333333333332,40.983333333333334,12.545403787327619,1.4051869477359415,458.2630136986301
Financial District South,87967,2949305.12,411404.89,17.7,41.994999999999955,12.784139275235264,1.492377823501995,241.0054794520548
Flatbush/Ditmas Park,4078,138921.1,26895.36,31.625,80.8025,9.536959170942868,1.0502697400686611,11.172602739726027
Flatiron,516137,11957204.63,1143209.49,11.266666666666667,32.86666666666667,8.70025564136983,1.3584552163475976,1414.0739726027398
Flatlands,2323,78172.76,15163.0,35.55,89.2366666666667,8.72939594022969,1.0327163151097718,6.364383561643836
Flushing,1762,63578.5,12230.27,28.15,66.24833333333326,12.769775515420015,1.101589103291714,4.8273972602739725
Flushing Meadows-Corona Park,6142,450663.38,61820.92,23.15,51.16416666666665,25.24332139457264,1.562845978508629,16.827397260273973
Fordham South,639,21740.35,4275.58,28.816666666666666,76.04166666666667,9.990716034618202,1.050078247261346,1.7506849315068493
Forest Hills,4549,145749.65,23584.48,21.033333333333335,60.709999999999944,11.130337997060895,1.1431083754671356,12.463013698630137
Forest Park/Highland Park,72,2517.42,395.31,14.45,51.49,15.56572358114936,1.125,0.19726027397260273
Fort Greene,13054,355501.04,55443.44,17.233333333333334,48.07249999999998,10.738944510397639,1.2688831009652213,35.76438356164383
Fresh Meadows,446,16445.77,3297.81,29.358333333333334,72.85000000000001,12.17182605762535,1.0717488789237668,1.2219178082191782
Freshkills Park,3,265.66,35.18,20.016666666666666,55.596666666666664,26.930557633530682,1.0,0.00821917808219178
Garment District,534866,13637056.31,1307407.66,12.716666666666667,34.55,7.980125121215521,1.4105794722416456,1465.386301369863
Glen Oaks,456,19174.41,4319.39,27.325000000000003,78.35,16.743791322082,1.0394736842105263,1.2493150684931507
Glendale,642,19615.11,3291.02,23.641666666666666,64.04916666666666,9.463220072199055,1.073208722741433,1.7589041095890412
Governor's Island/Ellis Island/Liberty Island,9,290.94,37.65,12.966666666666667,45.836666666666666,9.578361848197103,2.2222222222222223,0.024657534246575342
Gowanus,1741,52169.24,9527.09,23.166666666666668,58.0,11.393436223662206,1.093624353819644,4.76986301369863
Gramercy,673701,15236295.14,1486712.01,11.066666666666666,30.0,9.01754899574093,1.3423180312928138,1845.7561643835616
