pickup_hour,total_trips,median_speed_mph,median_duration_min,p95_distance_miles
0,777767,12.379046701618316,11.733333333333333,15.91
1,532914,12.949840079244966,10.983333333333333,11.37
2,351584,13.471621858744195,10.466666666666667,9.32
3,228909,14.305102636257423,10.4,11.16
4,146806,16.05081739756188,11.766666666666667,17.99
5,150570,17.09019982707477,11.25,19.39
6,456912,14.062394061209002,9.466666666666667,18.33
7,933999,11.229283623080653,10.283333333333333,16.69
8,1307416,9.322675735425651,11.55,10.6
9,1465532,8.884138066403015,11.916666666666666,9.07
10,1588852,8.637722761916496,12.183333333333334,8.9
11,1735506,8.243773183552781,12.733333333333333,9.17
12,1882772,8.172057590811871,12.916666666666666,10.63
13,1937593,8.25292528256783,13.066666666666666,15.51
14,2064944,8.104196267519994,13.433333333333334,16.59
15,2112016,8.032412161215426,13.533333333333333,16.48
16,1703523,8.279697119728338,13.116666666666667,10.34
17,1886315,8.352553121386793,12.95,8.21
18,2000782,8.718709131050948,12.2,7.3
19,1786593,9.404957677690449,11.666666666666666,8.17
20,1527548,10.378210083079734,11.8,16.33
21,1541440,10.90274500033714,11.9,15.63
22,1436907,11.279932320406077,12.233333333333333,16.47
23,1116603,11.803179176943708,12.25,17.09
