pickup_month,total_trips,total_revenue,total_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,percent_of_annual_trips,percent_of_annual_revenue
1,2479184,62388105.41,7386083.3,11.216666666666667,33.36666666666667,9.969120342051596,8.08,7.69
2,2356276,59209355.19,6914102.23,11.516666666666667,34.0,9.7115466010052,7.68,7.3
3,2712746,70019067.52,8151036.2,11.833333333333334,36.88333333333333,9.565134216224207,8.84,8.63
4,2650203,69849171.67,8268305.09,12.05,38.75,9.666926939026173,8.64,8.61
5,2823933,76035683.58,8884799.12,12.616666666666667,40.833333333333336,9.291540551246237,9.21,9.37
6,2639798,71130116.41,8326259.46,12.4,40.45,9.405595127274685,8.61,8.77
7,2331205,61905870.82,7449424.57,12.016666666666667,38.916666666666664,9.79579841879487,7.6,7.63
8,2247939,59680168.46,7221214.72,12.0,39.43333333333333,9.795596711655381,7.33,7.35
9,2255288,62289053.36,7052079.59,13.116666666666667,43.333333333333336,8.783396494063991,7.35,7.68
10,2794509,75566335.87,8514809.8,13.016666666666667,41.11666666666667,8.735062895393945,9.11,9.31
11,2663552,70924560.11,7834049.41,12.866666666666667,40.36666666666667,8.645049741293661,8.68,8.74
12,2719170,72467068.16,7996691.45,12.9,40.7,8.73926694984687,8.86,8.93
