QuyTacQA,SoLuongViPham,TyLeViPham (%),QuyetDinhXuLy
FLAG_DISTANCE_ZERO_OR_NEG,773457,22.215810666537223,Gắn cờ & Loại khỏi thống kê KPI
FLAG_PASSENGER_INVALID,567802,16.30883388227292,Gắn cờ & Loại khỏi thống kê KPI
FLAG_DURATION_TOO_SHORT,419163,12.039513310265137,Gắn cờ & Loại khỏi thống kê KPI
FLAG_FARE_AMOUNT_INVALID,404186,11.609332710241183,Gắn cờ & Loại khỏi thống kê KPI
FLAG_NEGATIVE_IMPROVEMENT_SURCHARGE,376673,10.819083738587375,Gắn cờ & Loại khỏi thống kê KPI
FLAG_NEGATIVE_MTA_TAX,365790,10.506494069757789,Gắn cờ & Loại khỏi thống kê KPI
FLAG_NEGATIVE_CONGESTION_SURCHARGE,303052,8.704486292212028,Gắn cờ & Loại khỏi thống kê KPI
FLAG_NEGATIVE_EXTRA,190753,5.478950390356509,Gắn cờ & Loại khỏi thống kê KPI
FLAG_NEGATIVE_AIRPORT_FEE,50293,1.4445531760035224,Gắn cờ & Loại khỏi thống kê KPI
FLAG_NEGATIVE_TOLLS_AMOUNT,24764,0.7112901368093221,Gắn cờ & Loại khỏi thống kê KPI
FLAG_TIME_SWAPPED_FIXED,2475,0.07108880183343047,Sửa & Giữ cho KPI
FLAG_NEGATIVE_TIP_AMOUNT,1788,0.0513562738093631,Gắn cờ & Loại khỏi thống kê KPI
FLAG_DISTANCE_EXTREME,989,0.02840679798515666,Gắn cờ & Loại khỏi thống kê KPI
FLAG_DURATION_TOO_LONG,213,0.006117945369907348,Gắn cờ & Loại khỏi thống kê KPI
FLAG_DUPLICATE,163,0.004681807959130976,Gắn cờ & Loại khỏi thống kê KPI
