QuyTacQA,SoLuongViPham,Month
FLAG_FIXED_TOTAL_AMOUNT,835550,2023-01
FLAG_INVALID_EXTRA,498236,2023-01
FLAG_FIXED_MISSINGS_RatecodeID,71743,2023-01
FLAG_FIXED_MISSINGS_PASSENGER,71743,2023-01
FLAG_FIXED_PAYMENT_TYPE,63441,2023-01
FLAG_DISTANCE_ZERO_OR_NEG,45862,2023-01
FLAG_DURATION_TOO_SHORT,34639,2023-01
FLAG_INVALID_IMPROVEMENT_SURCHANGE,31395,2023-01
FLAG_FARE_AMOUNT_INVALID,26505,2023-01
FLAG_INVALID_MTA_TAX,25283,2023-01
FLAG_INVALID_CONGESTION_IMPROVEMENT,19718,2023-01
FLAG_SPEED_TOO_HIGH,7221,2023-01
FLAG_INVALID_AIRPORT_FEE,3607,2023-01
FLAG_NEGATIVE_TOLLS_AMOUNT,1377,2023-01
FLAG_NEGATIVE_TIP_AMOUNT,225,2023-01
FLAG_DISTANCE_EXTREME,70,2023-01
FLAG_DURATION_TOO_LONG,25,2023-01
FLAG_FIXED_TIME_SWAPPED,3,2023-01
FLAG_FIXED_TOTAL_AMOUNT,805928,2023-02
FLAG_INVALID_EXTRA,476512,2023-02
FLAG_FIXED_MISSINGS_RatecodeID,76817,2023-02
FLAG_FIXED_MISSINGS_PASSENGER,76817,2023-02
FLAG_FIXED_PAYMENT_TYPE,67974,2023-02
FLAG_DISTANCE_ZERO_OR_NEG,41098,2023-02
FLAG_DURATION_TOO_SHORT,33712,2023-02
FLAG_INVALID_IMPROVEMENT_SURCHANGE,30890,2023-02
FLAG_FARE_AMOUNT_INVALID,26078,2023-02
FLAG_INVALID_MTA_TAX,24657,2023-02
FLAG_INVALID_CONGESTION_IMPROVEMENT,20048,2023-02
FLAG_SPEED_TOO_HIGH,6417,2023-02
FLAG_INVALID_AIRPORT_FEE,2903,2023-02
FLAG_NEGATIVE_TOLLS_AMOUNT,1404,2023-02
FLAG_FIXED_TIME_SWAPPED,276,2023-02
FLAG_NEGATIVE_TIP_AMOUNT,256,2023-02
FLAG_DISTANCE_EXTREME,76,2023-02
FLAG_DURATION_TOO_LONG,22,2023-02
FLAG_FIXED_TOTAL_AMOUNT,956277,2023-03
FLAG_INVALID_EXTRA,598218,2023-03
FLAG_FIXED_MISSINGS_RatecodeID,87619,2023-03
FLAG_FIXED_MISSINGS_PASSENGER,87619,2023-03
FLAG_FIXED_PAYMENT_TYPE,74350,2023-03
FLAG_DISTANCE_ZERO_OR_NEG,48528,2023-03
FLAG_DURATION_TOO_SHORT,39790,2023-03
FLAG_INVALID_IMPROVEMENT_SURCHANGE,35829,2023-03
FLAG_FARE_AMOUNT_INVALID,31260,2023-03
FLAG_INVALID_MTA_TAX,29030,2023-03
FLAG_INVALID_CONGESTION_IMPROVEMENT,23460,2023-03
FLAG_SPEED_TOO_HIGH,6960,2023-03
FLAG_INVALID_AIRPORT_FEE,3735,2023-03
FLAG_NEGATIVE_TOLLS_AMOUNT,1794,2023-03
FLAG_FIXED_TIME_SWAPPED,357,2023-03
FLAG_NEGATIVE_TIP_AMOUNT,250,2023-03
FLAG_DISTANCE_EXTREME,97,2023-03
FLAG_DURATION_TOO_LONG,21,2023-03
FLAG_FIXED_TOTAL_AMOUNT,908218,2023-04
FLAG_INVALID_EXTRA,554502,2023-04
FLAG_FIXED_MISSINGS_RatecodeID,90690,2023-04
FLAG_FIXED_MISSINGS_PASSENGER,90690,2023-04
FLAG_FIXED_PAYMENT_TYPE,72395,2023-04
FLAG_DISTANCE_ZERO_OR_NEG,40234,2023-04
FLAG_DURATION_TOO_SHORT,38203,2023-04
FLAG_INVALID_IMPROVEMENT_SURCHANGE,33517,2023-04
FLAG_FARE_AMOUNT_INVALID,31671,2023-04
FLAG_INVALID_MTA_TAX,28967,2023-04
FLAG_INVALID_CONGESTION_IMPROVEMENT,23672,2023-04
FLAG_SPEED_TOO_HIGH,5917,2023-04
FLAG_INVALID_AIRPORT_FEE,3641,2023-04
FLAG_NEGATIVE_TOLLS_AMOUNT,1930,2023-04
FLAG_NEGATIVE_TIP_AMOUNT,145,2023-04
FLAG_FIXED_TIME_SWAPPED,91,2023-04
FLAG_DISTANCE_EXTREME,86,2023-04
FLAG_DURATION_TOO_LONG,19,2023-04
FLAG_FIXED_TOTAL_AMOUNT,959220,2023-05
FLAG_INVALID_EXTRA,600915,2023-05
FLAG_FIXED_MISSINGS_RatecodeID,101796,2023-05
FLAG_FIXED_MISSINGS_PASSENGER,101796,2023-05
FLAG_FIXED_PAYMENT_TYPE,80210,2023-05
FLAG_DISTANCE_ZERO_OR_NEG,46895,2023-05
FLAG_DURATION_TOO_SHORT,37336,2023-05
FLAG_INVALID_IMPROVEMENT_SURCHANGE,34826,2023-05
FLAG_FARE_AMOUNT_INVALID,34187,2023-05
FLAG_INVALID_MTA_TAX,30979,2023-05
FLAG_INVALID_CONGESTION_IMPROVEMENT,25290,2023-05
FLAG_SPEED_TOO_HIGH,5273,2023-05
FLAG_INVALID_AIRPORT_FEE,3425,2023-05
FLAG_NEGATIVE_TOLLS_AMOUNT,2074,2023-05
FLAG_NEGATIVE_TIP_AMOUNT,129,2023-05
FLAG_DISTANCE_EXTREME,106,2023-05
FLAG_FIXED_TIME_SWAPPED,68,2023-05
FLAG_DURATION_TOO_LONG,7,2023-05
FLAG_FIXED_TOTAL_AMOUNT,905087,2023-06
FLAG_INVALID_EXTRA,578421,2023-06
FLAG_FIXED_MISSINGS_RatecodeID,99887,2023-06
FLAG_FIXED_MISSINGS_PASSENGER,99887,2023-06
FLAG_FIXED_PAYMENT_TYPE,74854,2023-06
FLAG_DISTANCE_ZERO_OR_NEG,47472,2023-06
FLAG_DURATION_TOO_SHORT,36007,2023-06
FLAG_INVALID_IMPROVEMENT_SURCHANGE,33819,2023-06
FLAG_FARE_AMOUNT_INVALID,33365,2023-06
